female,day,line,offspring,treatment,pop,obs
186,W2,M395,0,rival,iv,O1
186,W3,M395,0,rival,iv,O2
186,W4,M395,0,rival,iv,O3
144,W5,M900,0,rival,iv,O4
186,W5,M395,0,rival,iv,O5
132,W6,M900,0,rival,iv,O6
140,W6,M596,0,rival,iv,O7
175,W6,M596,0,single,iv,O8
220,W6,M315,0,rival,iv,O9
230,W6,M239,0,rival,iv,O10
125,W7,M395,0,single,iv,O11
133,W7,M239,0,single,iv,O12
136,W7,M315,0,rival,iv,O13
158,W7,M239,0,rival,iv,O14
168,W7,M900,0,rival,iv,O15
175,W7,M596,0,single,iv,O16
190,W7,M703,0,rival,iv,O17
192,W7,M900,0,rival,iv,O18
220,W7,M315,0,rival,iv,O19
128,W8,M596,0,rival,iv,O20
136,W8,M315,0,rival,iv,O21
158,W8,M239,0,rival,iv,O22
162,W8,M395,0,rival,iv,O23
168,W8,M900,0,rival,iv,O24
175,W8,M596,0,single,iv,O25
180,W8,M900,0,rival,iv,O26
189,W8,M703,0,single,iv,O27
190,W8,M703,0,rival,iv,O28
192,W8,M900,0,rival,iv,O29
210,W8,M395,0,rival,iv,O30
220,W8,M315,0,rival,iv,O31
222,W8,M395,0,rival,iv,O32
128,W9,M596,0,rival,iv,O33
136,W9,M315,0,rival,iv,O34
137,W9,M395,0,single,iv,O35
138,W9,M395,0,rival,iv,O36
139,W9,M596,0,single,iv,O37
147,W9,M315,0,single,iv,O38
149,W9,M395,0,single,iv,O39
150,W9,M395,0,rival,iv,O40
158,W9,M239,0,rival,iv,O41
163,W9,M596,0,single,iv,O42
168,W9,M900,0,rival,iv,O43
179,W9,M900,0,single,iv,O44
184,W9,M315,0,rival,iv,O45
189,W9,M703,0,single,iv,O46
191,W9,M900,0,single,iv,O47
192,W9,M900,0,rival,iv,O48
196,W9,M315,0,rival,iv,O49
215,W9,M900,0,single,iv,O50
122,W10,M239,0,rival,iv,O51
125,W10,M395,0,single,iv,O52
128,W10,M596,0,rival,iv,O53
137,W10,M395,0,single,iv,O54
138,W10,M395,0,rival,iv,O55
139,W10,M596,0,single,iv,O56
149,W10,M395,0,single,iv,O57
150,W10,M395,0,rival,iv,O58
161,W10,M395,0,single,iv,O59
162,W10,M395,0,rival,iv,O60
163,W10,M596,0,single,iv,O61
180,W10,M900,0,rival,iv,O62
189,W10,M703,0,single,iv,O63
218,W10,M239,0,rival,iv,O64
145,W6,M239,1,single,iv,O65
192,W6,M900,1,rival,iv,O66
189,W7,M703,1,single,iv,O67
142,W9,M703,1,rival,iv,O68
200,W9,M596,1,rival,iv,O69
217,W10,M239,1,single,iv,O70
223,W3,M596,2,single,iv,O71
130,W6,M703,2,rival,iv,O72
132,W7,M900,2,rival,iv,O73
206,W8,M239,2,rival,iv,O74
203,W6,M900,3,single,iv,O75
222,W7,M395,3,rival,iv,O76
147,W8,M315,3,single,iv,O77
150,W8,M395,3,rival,iv,O78
169,W8,M239,3,single,iv,O79
234,W8,M395,3,rival,iv,O80
199,W9,M596,3,single,iv,O81
145,W5,M239,4,single,iv,O82
200,W6,M596,4,rival,iv,O83
141,W9,M703,4,single,iv,O84
217,W9,M239,4,single,iv,O85
134,W10,M239,4,rival,iv,O86
169,W10,M239,4,single,iv,O87
128,W7,M596,5,rival,iv,O88
140,W7,M596,5,rival,iv,O89
187,W8,M596,5,single,iv,O90
174,W10,M395,5,rival,iv,O91
127,W5,M596,6,single,iv,O92
127,W6,M596,6,single,iv,O93
190,W6,M703,6,rival,iv,O94
215,W8,M900,6,single,iv,O95
192,W5,M900,7,rival,iv,O96
206,W9,M239,7,rival,iv,O97
233,W9,M395,7,single,iv,O98
130,W4,M703,8,rival,iv,O99
141,W10,M703,8,single,iv,O100
206,W7,M239,9,rival,iv,O101
228,W7,M900,9,rival,iv,O102
124,W9,M315,9,rival,iv,O103
234,W9,M395,9,rival,iv,O104
192,W3,M900,10,rival,iv,O105
140,W4,M596,10,rival,iv,O106
137,W8,M395,10,single,iv,O107
169,W6,M239,11,single,iv,O108
218,W8,M239,11,rival,iv,O109
169,W9,M239,11,single,iv,O110
156,W10,M900,12,rival,iv,O111
197,W10,M395,12,single,iv,O112
122,W8,M239,13,rival,iv,O113
166,W10,M703,13,rival,iv,O114
131,W7,M900,14,single,iv,O115
169,W7,M239,14,single,iv,O116
143,W9,M900,14,single,iv,O117
193,W10,M239,14,single,iv,O118
132,W5,M900,15,rival,iv,O119
224,W6,M596,16,rival,iv,O120
197,W7,M395,16,single,iv,O121
148,W8,M315,16,rival,iv,O122
211,W8,M596,16,single,iv,O123
138,W6,M395,17,rival,iv,O124
208,W6,M315,17,rival,iv,O125
235,W10,M596,17,single,iv,O126
140,W3,M596,18,rival,iv,O127
128,W6,M596,18,rival,iv,O128
139,W6,M596,18,single,iv,O129
139,W7,M596,18,single,iv,O130
156,W9,M900,18,rival,iv,O131
192,W4,M900,19,rival,iv,O132
161,W7,M395,19,single,iv,O133
138,W8,M395,19,rival,iv,O134
135,W10,M315,19,single,iv,O135
160,W8,M315,20,rival,iv,O136
161,W9,M395,20,single,iv,O137
155,W3,M900,21,single,iv,O138
229,W3,M239,21,single,iv,O139
190,W4,M703,21,rival,iv,O140
189,W6,M703,21,single,iv,O141
184,W10,M315,21,rival,iv,O142
164,W6,M596,22,rival,iv,O143
137,W7,M395,22,single,iv,O144
162,W9,M395,22,rival,iv,O145
169,W5,M239,23,single,iv,O146
146,W7,M239,23,rival,iv,O147
142,W8,M703,23,rival,iv,O148
237,W8,M703,23,single,iv,O149
221,W6,M395,24,single,iv,O150
199,W8,M596,24,single,iv,O151
123,W10,M315,24,single,iv,O152
171,W2,M315,25,single,iv,O153
131,W6,M900,25,single,iv,O154
139,W8,M596,25,single,iv,O155
141,W8,M703,25,single,iv,O156
179,W8,M900,25,single,iv,O157
193,W8,M239,25,single,iv,O158
207,W10,M315,25,single,iv,O159
189,W3,M703,26,single,iv,O160
158,W5,M239,26,rival,iv,O161
168,W6,M900,26,rival,iv,O162
224,W7,M596,26,rival,iv,O163
125,W9,M395,26,single,iv,O164
179,W10,M900,26,single,iv,O165
143,W8,M900,27,single,iv,O166
164,W5,M596,28,rival,iv,O167
163,W6,M596,28,single,iv,O168
163,W8,M596,28,single,iv,O169
157,W10,M239,28,single,iv,O170
131,W5,M900,29,single,iv,O171
164,W7,M596,29,rival,iv,O172
224,W9,M596,29,rival,iv,O173
193,W6,M239,30,single,iv,O174
134,W9,M239,30,rival,iv,O175
128,W5,M596,31,rival,iv,O176
164,W8,M596,31,rival,iv,O177
197,W8,M395,31,single,iv,O178
217,W8,M239,31,single,iv,O179
137,W6,M395,32,single,iv,O180
156,W8,M900,32,rival,iv,O181
230,W10,M239,32,rival,iv,O182
138,W5,M395,33,rival,iv,O183
155,W5,M900,33,single,iv,O184
197,W6,M395,33,single,iv,O185
200,W8,M596,33,rival,iv,O186
154,W10,M703,33,rival,iv,O187
179,W7,M900,34,single,iv,O188
123,W9,M315,34,single,iv,O189
230,W9,M239,34,rival,iv,O190
142,W10,M703,35,rival,iv,O191
179,W5,M900,36,single,iv,O192
199,W7,M596,36,single,iv,O193
196,W8,M315,36,rival,iv,O194
175,W5,M596,37,single,iv,O195
160,W7,M315,37,rival,iv,O196
235,W8,M596,37,single,iv,O197
197,W9,M395,37,single,iv,O198
127,W3,M596,38,single,iv,O199
211,W7,M596,38,single,iv,O200
183,W8,M315,38,single,iv,O201
228,W9,M900,38,rival,iv,O202
143,W10,M900,38,single,iv,O203
207,W9,M315,39,single,iv,O204
229,W2,M239,40,single,iv,O205
140,W5,M596,40,rival,iv,O206
164,W10,M596,40,rival,iv,O207
174,W3,M395,41,rival,iv,O208
146,W4,M239,41,rival,iv,O209
167,W7,M900,41,single,iv,O210
200,W7,M596,41,rival,iv,O211
234,W7,M395,41,rival,iv,O212
122,W9,M239,41,rival,iv,O213
164,W9,M596,41,rival,iv,O214
187,W10,M596,41,single,iv,O215
228,W10,M900,41,rival,iv,O216
155,W2,M900,42,single,iv,O217
197,W5,M395,42,single,iv,O218
148,W9,M315,42,rival,iv,O219
211,W5,M596,43,single,iv,O220
165,W9,M703,43,single,iv,O221
206,W4,M239,44,rival,iv,O222
133,W6,M239,44,single,iv,O223
181,W6,M239,44,single,iv,O224
228,W6,M900,44,rival,iv,O225
130,W5,M703,45,rival,iv,O226
163,W5,M596,45,single,iv,O227
124,W8,M315,45,rival,iv,O228
230,W8,M239,45,rival,iv,O229
146,W9,M239,45,rival,iv,O230
211,W9,M596,45,single,iv,O231
125,W1,M395,46,single,iv,O232
234,W6,M395,46,rival,iv,O233
124,W7,M315,46,rival,iv,O234
148,W10,M315,46,rival,iv,O235
197,W3,M395,47,single,iv,O236
145,W3,M239,48,single,iv,O237
189,W5,M703,48,single,iv,O238
173,W8,M395,48,single,iv,O239
162,W4,M395,49,rival,iv,O240
188,W5,M596,49,rival,iv,O241
162,W6,M395,49,rival,iv,O242
215,W7,M900,49,single,iv,O243
166,W9,M703,49,rival,iv,O244
146,W10,M239,49,rival,iv,O245
239,W10,M900,49,single,iv,O246
127,W4,M596,50,single,iv,O247
200,W5,M596,50,rival,iv,O248
142,W7,M703,50,rival,iv,O249
156,W7,M900,50,rival,iv,O250
207,W8,M315,50,single,iv,O251
165,W10,M703,50,single,iv,O252
163,W3,M596,51,single,iv,O253
136,W6,M315,51,rival,iv,O254
163,W7,M596,51,single,iv,O255
204,W8,M900,51,rival,iv,O256
154,W9,M703,51,rival,iv,O257
158,W1,M239,52,rival,iv,O258
145,W4,M239,52,single,iv,O259
197,W4,M395,52,single,iv,O260
147,W7,M315,52,single,iv,O261
210,W7,M395,52,rival,iv,O262
157,W8,M239,52,single,iv,O263
149,W1,M395,53,single,iv,O264
200,W3,M596,53,rival,iv,O265
135,W7,M315,53,single,iv,O266
187,W9,M596,53,single,iv,O267
164,W4,M596,54,rival,iv,O268
149,W6,M395,54,single,iv,O269
167,W8,M900,54,single,iv,O270
170,W8,M239,54,rival,iv,O271
197,W2,M395,55,single,iv,O272
220,W5,M315,55,rival,iv,O273
162,W7,M395,55,rival,iv,O274
191,W8,M900,55,single,iv,O275
199,W6,M596,56,single,iv,O276
126,W8,M395,56,rival,iv,O277
235,W9,M596,56,single,iv,O278
173,W3,M395,57,single,iv,O279
169,W4,M239,57,single,iv,O280
196,W7,M315,57,rival,iv,O281
135,W9,M315,57,single,iv,O282
204,W9,M900,57,rival,iv,O283
197,W1,M395,58,single,iv,O284
165,W6,M703,58,single,iv,O285
173,W1,M395,59,single,iv,O286
131,W3,M900,59,single,iv,O287
227,W5,M900,59,single,iv,O288
201,W6,M703,59,single,iv,O289
170,W9,M239,59,rival,iv,O290
158,W4,M239,60,rival,iv,O291
191,W6,M900,60,single,iv,O292
134,W8,M239,60,rival,iv,O293
122,W6,M239,61,rival,iv,O294
235,W7,M596,61,single,iv,O295
239,W7,M900,61,single,iv,O296
146,W8,M239,61,rival,iv,O297
224,W8,M596,61,rival,iv,O298
167,W9,M900,61,single,iv,O299
193,W9,M239,61,single,iv,O300
131,W4,M900,62,single,iv,O301
133,W5,M239,62,single,iv,O302
143,W7,M900,62,single,iv,O303
201,W5,M703,63,single,iv,O304
125,W6,M395,63,single,iv,O305
166,W6,M703,63,rival,iv,O306
141,W7,M703,63,single,iv,O307
188,W7,M596,63,rival,iv,O308
200,W4,M596,64,rival,iv,O309
211,W6,M596,64,single,iv,O310
170,W10,M239,64,rival,iv,O311
221,W3,M395,65,single,iv,O312
165,W5,M703,65,single,iv,O313
168,W5,M900,65,rival,iv,O314
165,W7,M703,65,single,iv,O315
188,W8,M596,65,rival,iv,O316
128,W2,M596,66,rival,iv,O317
200,W2,M596,66,rival,iv,O318
227,W2,M900,66,single,iv,O319
168,W4,M900,66,rival,iv,O320
206,W5,M239,66,rival,iv,O321
166,W7,M703,66,rival,iv,O322
135,W8,M315,66,single,iv,O323
134,W1,M239,67,rival,iv,O324
169,W1,M239,67,single,iv,O325
211,W1,M596,67,single,iv,O326
172,W2,M315,67,rival,iv,O327
139,W5,M596,67,single,iv,O328
142,W6,M703,67,rival,iv,O329
167,W6,M900,67,single,iv,O330
214,W6,M703,67,rival,iv,O331
165,W8,M703,67,single,iv,O332
173,W4,M395,68,single,iv,O333
199,W5,M596,68,single,iv,O334
218,W9,M239,68,rival,iv,O335
165,W1,M703,69,single,iv,O336
220,W4,M315,69,rival,iv,O337
154,W8,M703,69,rival,iv,O338
204,W10,M900,69,rival,iv,O339
138,W4,M395,70,rival,iv,O340
167,W4,M900,70,single,iv,O341
191,W5,M900,70,single,iv,O342
149,W7,M395,70,single,iv,O343
221,W4,M395,71,single,iv,O344
166,W8,M703,71,rival,iv,O345
128,W4,M596,72,rival,iv,O346
143,W6,M900,72,single,iv,O347
156,W6,M900,72,rival,iv,O348
215,W6,M900,72,single,iv,O349
222,W6,M395,72,rival,iv,O350
146,W1,M239,73,rival,iv,O351
189,W1,M703,73,single,iv,O352
157,W2,M239,73,single,iv,O353
132,W4,M900,73,rival,iv,O354
163,W4,M596,73,single,iv,O355
129,W1,M703,74,single,iv,O356
176,W1,M596,74,rival,iv,O357
127,W2,M596,74,single,iv,O358
155,W4,M900,74,single,iv,O359
167,W5,M900,74,single,iv,O360
158,W6,M239,74,rival,iv,O361
148,W7,M315,74,rival,iv,O362
187,W7,M596,74,single,iv,O363
169,W2,M239,75,single,iv,O364
144,W3,M900,75,rival,iv,O365
218,W6,M239,75,rival,iv,O366
228,W8,M900,75,rival,iv,O367
174,W9,M395,75,rival,iv,O368
167,W10,M900,75,single,iv,O369
237,W10,M703,75,single,iv,O370
137,W1,M395,76,single,iv,O371
152,W1,M596,76,rival,iv,O372
147,W6,M315,76,single,iv,O373
230,W7,M239,76,rival,iv,O374
121,W5,M239,77,single,iv,O375
136,W5,M315,77,rival,iv,O376
156,W5,M900,77,rival,iv,O377
141,W6,M703,77,single,iv,O378
149,W8,M395,77,single,iv,O379
237,W1,M703,78,single,iv,O380
130,W2,M703,78,rival,iv,O381
165,W3,M703,78,single,iv,O382
174,W5,M395,78,rival,iv,O383
144,W1,M900,79,rival,iv,O384
182,W2,M239,79,rival,iv,O385
161,W3,M395,79,single,iv,O386
