female,day,line,offspring,treatment,pop
186,W2,M395,0,rival,iv
186,W3,M395,0,rival,iv
186,W4,M395,0,rival,iv
144,W5,M900,0,rival,iv
186,W5,M395,0,rival,iv
132,W6,M900,0,rival,iv
140,W6,M596,0,rival,iv
175,W6,M596,0,single,iv
220,W6,M315,0,rival,iv
230,W6,M239,0,rival,iv
125,W7,M395,0,single,iv
133,W7,M239,0,single,iv
136,W7,M315,0,rival,iv
158,W7,M239,0,rival,iv
168,W7,M900,0,rival,iv
175,W7,M596,0,single,iv
190,W7,M703,0,rival,iv
192,W7,M900,0,rival,iv
220,W7,M315,0,rival,iv
128,W8,M596,0,rival,iv
136,W8,M315,0,rival,iv
158,W8,M239,0,rival,iv
162,W8,M395,0,rival,iv
168,W8,M900,0,rival,iv
175,W8,M596,0,single,iv
180,W8,M900,0,rival,iv
189,W8,M703,0,single,iv
190,W8,M703,0,rival,iv
192,W8,M900,0,rival,iv
210,W8,M395,0,rival,iv
220,W8,M315,0,rival,iv
222,W8,M395,0,rival,iv
128,W9,M596,0,rival,iv
136,W9,M315,0,rival,iv
137,W9,M395,0,single,iv
138,W9,M395,0,rival,iv
139,W9,M596,0,single,iv
147,W9,M315,0,single,iv
149,W9,M395,0,single,iv
150,W9,M395,0,rival,iv
158,W9,M239,0,rival,iv
163,W9,M596,0,single,iv
168,W9,M900,0,rival,iv
179,W9,M900,0,single,iv
184,W9,M315,0,rival,iv
189,W9,M703,0,single,iv
191,W9,M900,0,single,iv
192,W9,M900,0,rival,iv
196,W9,M315,0,rival,iv
215,W9,M900,0,single,iv
122,W10,M239,0,rival,iv
125,W10,M395,0,single,iv
128,W10,M596,0,rival,iv
137,W10,M395,0,single,iv
138,W10,M395,0,rival,iv
139,W10,M596,0,single,iv
149,W10,M395,0,single,iv
150,W10,M395,0,rival,iv
161,W10,M395,0,single,iv
162,W10,M395,0,rival,iv
163,W10,M596,0,single,iv
180,W10,M900,0,rival,iv
189,W10,M703,0,single,iv
218,W10,M239,0,rival,iv
145,W6,M239,1,single,iv
192,W6,M900,1,rival,iv
189,W7,M703,1,single,iv
142,W9,M703,1,rival,iv
200,W9,M596,1,rival,iv
217,W10,M239,1,single,iv
223,W3,M596,2,single,iv
130,W6,M703,2,rival,iv
132,W7,M900,2,rival,iv
206,W8,M239,2,rival,iv
203,W6,M900,3,single,iv
222,W7,M395,3,rival,iv
147,W8,M315,3,single,iv
150,W8,M395,3,rival,iv
169,W8,M239,3,single,iv
234,W8,M395,3,rival,iv
199,W9,M596,3,single,iv
145,W5,M239,4,single,iv
200,W6,M596,4,rival,iv
141,W9,M703,4,single,iv
217,W9,M239,4,single,iv
134,W10,M239,4,rival,iv
169,W10,M239,4,single,iv
128,W7,M596,5,rival,iv
140,W7,M596,5,rival,iv
187,W8,M596,5,single,iv
174,W10,M395,5,rival,iv
127,W5,M596,6,single,iv
127,W6,M596,6,single,iv
190,W6,M703,6,rival,iv
215,W8,M900,6,single,iv
192,W5,M900,7,rival,iv
206,W9,M239,7,rival,iv
233,W9,M395,7,single,iv
130,W4,M703,8,rival,iv
141,W10,M703,8,single,iv
206,W7,M239,9,rival,iv
228,W7,M900,9,rival,iv
124,W9,M315,9,rival,iv
234,W9,M395,9,rival,iv
192,W3,M900,10,rival,iv
140,W4,M596,10,rival,iv
137,W8,M395,10,single,iv
169,W6,M239,11,single,iv
218,W8,M239,11,rival,iv
169,W9,M239,11,single,iv
156,W10,M900,12,rival,iv
197,W10,M395,12,single,iv
122,W8,M239,13,rival,iv
166,W10,M703,13,rival,iv
131,W7,M900,14,single,iv
169,W7,M239,14,single,iv
143,W9,M900,14,single,iv
193,W10,M239,14,single,iv
132,W5,M900,15,rival,iv
224,W6,M596,16,rival,iv
197,W7,M395,16,single,iv
148,W8,M315,16,rival,iv
211,W8,M596,16,single,iv
138,W6,M395,17,rival,iv
208,W6,M315,17,rival,iv
235,W10,M596,17,single,iv
140,W3,M596,18,rival,iv
128,W6,M596,18,rival,iv
139,W6,M596,18,single,iv
139,W7,M596,18,single,iv
156,W9,M900,18,rival,iv
192,W4,M900,19,rival,iv
161,W7,M395,19,single,iv
138,W8,M395,19,rival,iv
135,W10,M315,19,single,iv
160,W8,M315,20,rival,iv
161,W9,M395,20,single,iv
155,W3,M900,21,single,iv
229,W3,M239,21,single,iv
190,W4,M703,21,rival,iv
189,W6,M703,21,single,iv
184,W10,M315,21,rival,iv
164,W6,M596,22,rival,iv
137,W7,M395,22,single,iv
162,W9,M395,22,rival,iv
169,W5,M239,23,single,iv
146,W7,M239,23,rival,iv
142,W8,M703,23,rival,iv
237,W8,M703,23,single,iv
221,W6,M395,24,single,iv
199,W8,M596,24,single,iv
123,W10,M315,24,single,iv
171,W2,M315,25,single,iv
131,W6,M900,25,single,iv
139,W8,M596,25,single,iv
141,W8,M703,25,single,iv
179,W8,M900,25,single,iv
193,W8,M239,25,single,iv
207,W10,M315,25,single,iv
189,W3,M703,26,single,iv
158,W5,M239,26,rival,iv
168,W6,M900,26,rival,iv
224,W7,M596,26,rival,iv
125,W9,M395,26,single,iv
179,W10,M900,26,single,iv
143,W8,M900,27,single,iv
164,W5,M596,28,rival,iv
163,W6,M596,28,single,iv
163,W8,M596,28,single,iv
157,W10,M239,28,single,iv
131,W5,M900,29,single,iv
164,W7,M596,29,rival,iv
224,W9,M596,29,rival,iv
193,W6,M239,30,single,iv
134,W9,M239,30,rival,iv
128,W5,M596,31,rival,iv
164,W8,M596,31,rival,iv
197,W8,M395,31,single,iv
217,W8,M239,31,single,iv
137,W6,M395,32,single,iv
156,W8,M900,32,rival,iv
230,W10,M239,32,rival,iv
138,W5,M395,33,rival,iv
155,W5,M900,33,single,iv
197,W6,M395,33,single,iv
200,W8,M596,33,rival,iv
154,W10,M703,33,rival,iv
179,W7,M900,34,single,iv
123,W9,M315,34,single,iv
230,W9,M239,34,rival,iv
142,W10,M703,35,rival,iv
179,W5,M900,36,single,iv
199,W7,M596,36,single,iv
196,W8,M315,36,rival,iv
175,W5,M596,37,single,iv
160,W7,M315,37,rival,iv
235,W8,M596,37,single,iv
197,W9,M395,37,single,iv
127,W3,M596,38,single,iv
211,W7,M596,38,single,iv
183,W8,M315,38,single,iv
228,W9,M900,38,rival,iv
143,W10,M900,38,single,iv
207,W9,M315,39,single,iv
229,W2,M239,40,single,iv
140,W5,M596,40,rival,iv
164,W10,M596,40,rival,iv
174,W3,M395,41,rival,iv
146,W4,M239,41,rival,iv
167,W7,M900,41,single,iv
200,W7,M596,41,rival,iv
234,W7,M395,41,rival,iv
122,W9,M239,41,rival,iv
164,W9,M596,41,rival,iv
187,W10,M596,41,single,iv
228,W10,M900,41,rival,iv
155,W2,M900,42,single,iv
197,W5,M395,42,single,iv
148,W9,M315,42,rival,iv
211,W5,M596,43,single,iv
165,W9,M703,43,single,iv
206,W4,M239,44,rival,iv
133,W6,M239,44,single,iv
181,W6,M239,44,single,iv
228,W6,M900,44,rival,iv
130,W5,M703,45,rival,iv
163,W5,M596,45,single,iv
124,W8,M315,45,rival,iv
230,W8,M239,45,rival,iv
146,W9,M239,45,rival,iv
211,W9,M596,45,single,iv
125,W1,M395,46,single,iv
234,W6,M395,46,rival,iv
124,W7,M315,46,rival,iv
148,W10,M315,46,rival,iv
197,W3,M395,47,single,iv
145,W3,M239,48,single,iv
189,W5,M703,48,single,iv
173,W8,M395,48,single,iv
162,W4,M395,49,rival,iv
188,W5,M596,49,rival,iv
162,W6,M395,49,rival,iv
215,W7,M900,49,single,iv
166,W9,M703,49,rival,iv
146,W10,M239,49,rival,iv
239,W10,M900,49,single,iv
127,W4,M596,50,single,iv
200,W5,M596,50,rival,iv
142,W7,M703,50,rival,iv
156,W7,M900,50,rival,iv
207,W8,M315,50,single,iv
165,W10,M703,50,single,iv
163,W3,M596,51,single,iv
136,W6,M315,51,rival,iv
163,W7,M596,51,single,iv
204,W8,M900,51,rival,iv
154,W9,M703,51,rival,iv
158,W1,M239,52,rival,iv
145,W4,M239,52,single,iv
197,W4,M395,52,single,iv
147,W7,M315,52,single,iv
210,W7,M395,52,rival,iv
157,W8,M239,52,single,iv
149,W1,M395,53,single,iv
200,W3,M596,53,rival,iv
135,W7,M315,53,single,iv
187,W9,M596,53,single,iv
164,W4,M596,54,rival,iv
149,W6,M395,54,single,iv
167,W8,M900,54,single,iv
170,W8,M239,54,rival,iv
197,W2,M395,55,single,iv
220,W5,M315,55,rival,iv
162,W7,M395,55,rival,iv
191,W8,M900,55,single,iv
199,W6,M596,56,single,iv
126,W8,M395,56,rival,iv
235,W9,M596,56,single,iv
173,W3,M395,57,single,iv
169,W4,M239,57,single,iv
196,W7,M315,57,rival,iv
135,W9,M315,57,single,iv
204,W9,M900,57,rival,iv
197,W1,M395,58,single,iv
165,W6,M703,58,single,iv
173,W1,M395,59,single,iv
131,W3,M900,59,single,iv
227,W5,M900,59,single,iv
201,W6,M703,59,single,iv
170,W9,M239,59,rival,iv
158,W4,M239,60,rival,iv
191,W6,M900,60,single,iv
134,W8,M239,60,rival,iv
122,W6,M239,61,rival,iv
235,W7,M596,61,single,iv
239,W7,M900,61,single,iv
146,W8,M239,61,rival,iv
224,W8,M596,61,rival,iv
167,W9,M900,61,single,iv
193,W9,M239,61,single,iv
131,W4,M900,62,single,iv
133,W5,M239,62,single,iv
143,W7,M900,62,single,iv
201,W5,M703,63,single,iv
125,W6,M395,63,single,iv
166,W6,M703,63,rival,iv
141,W7,M703,63,single,iv
188,W7,M596,63,rival,iv
200,W4,M596,64,rival,iv
211,W6,M596,64,single,iv
170,W10,M239,64,rival,iv
221,W3,M395,65,single,iv
165,W5,M703,65,single,iv
168,W5,M900,65,rival,iv
165,W7,M703,65,single,iv
188,W8,M596,65,rival,iv
128,W2,M596,66,rival,iv
200,W2,M596,66,rival,iv
227,W2,M900,66,single,iv
168,W4,M900,66,rival,iv
206,W5,M239,66,rival,iv
166,W7,M703,66,rival,iv
135,W8,M315,66,single,iv
134,W1,M239,67,rival,iv
169,W1,M239,67,single,iv
211,W1,M596,67,single,iv
172,W2,M315,67,rival,iv
139,W5,M596,67,single,iv
142,W6,M703,67,rival,iv
167,W6,M900,67,single,iv
214,W6,M703,67,rival,iv
165,W8,M703,67,single,iv
173,W4,M395,68,single,iv
199,W5,M596,68,single,iv
218,W9,M239,68,rival,iv
165,W1,M703,69,single,iv
220,W4,M315,69,rival,iv
154,W8,M703,69,rival,iv
204,W10,M900,69,rival,iv
138,W4,M395,70,rival,iv
167,W4,M900,70,single,iv
191,W5,M900,70,single,iv
149,W7,M395,70,single,iv
221,W4,M395,71,single,iv
166,W8,M703,71,rival,iv
128,W4,M596,72,rival,iv
143,W6,M900,72,single,iv
156,W6,M900,72,rival,iv
215,W6,M900,72,single,iv
222,W6,M395,72,rival,iv
146,W1,M239,73,rival,iv
189,W1,M703,73,single,iv
157,W2,M239,73,single,iv
132,W4,M900,73,rival,iv
163,W4,M596,73,single,iv
129,W1,M703,74,single,iv
176,W1,M596,74,rival,iv
127,W2,M596,74,single,iv
155,W4,M900,74,single,iv
167,W5,M900,74,single,iv
158,W6,M239,74,rival,iv
148,W7,M315,74,rival,iv
187,W7,M596,74,single,iv
169,W2,M239,75,single,iv
144,W3,M900,75,rival,iv
218,W6,M239,75,rival,iv
228,W8,M900,75,rival,iv
174,W9,M395,75,rival,iv
167,W10,M900,75,single,iv
237,W10,M703,75,single,iv
137,W1,M395,76,single,iv
152,W1,M596,76,rival,iv
147,W6,M315,76,single,iv
230,W7,M239,76,rival,iv
121,W5,M239,77,single,iv
136,W5,M315,77,rival,iv
156,W5,M900,77,rival,iv
141,W6,M703,77,single,iv
149,W8,M395,77,single,iv
237,W1,M703,78,single,iv
130,W2,M703,78,rival,iv
165,W3,M703,78,single,iv
174,W5,M395,78,rival,iv
144,W1,M900,79,rival,iv
182,W2,M239,79,rival,iv
161,W3,M395,79,single,iv
210,W4,M395,79,rival,iv
218,W5,M239,79,rival,iv
170,W6,M239,79,rival,iv
184,W3,M315,80,rival,iv
227,W3,M900,80,single,iv
144,W4,M900,80,rival,iv
