female,day,line,offspring,treatment,pop
125,4,M395,46,single,iv
158,4,M239,52,rival,iv
149,4,M395,53,single,iv
197,4,M395,58,single,iv
173,4,M395,59,single,iv
134,4,M239,67,rival,iv
169,4,M239,67,single,iv
211,4,M596,67,single,iv
165,4,M703,69,single,iv
146,4,M239,73,rival,iv
189,4,M703,73,single,iv
129,4,M703,74,single,iv
176,4,M596,74,rival,iv
137,4,M395,76,single,iv
152,4,M596,76,rival,iv
237,4,M703,78,single,iv
144,4,M900,79,rival,iv
178,4,M703,82,rival,iv
163,4,M596,83,single,iv
225,4,M703,83,single,iv
128,4,M596,84,rival,iv
131,4,M900,84,single,iv
239,4,M900,84,single,iv
193,4,M239,86,single,iv
209,4,M395,86,single,iv
139,4,M596,87,single,iv
155,4,M900,87,single,iv
194,4,M239,87,rival,iv
201,4,M703,87,single,iv
133,4,M239,88,single,iv
167,4,M900,88,single,iv
229,4,M239,88,single,iv
213,4,M703,89,single,iv
154,4,M703,90,rival,iv
156,4,M900,90,rival,iv
153,4,M703,91,single,iv
195,4,M315,91,single,iv
145,4,M239,92,single,iv
124,4,M315,93,rival,iv
185,4,M395,93,single,iv
192,4,M900,93,rival,iv
219,4,M315,93,single,iv
206,4,M239,94,rival,iv
218,4,M239,94,rival,iv
233,4,M395,94,single,iv
150,4,M395,95,rival,iv
164,4,M596,96,rival,iv
186,4,M395,96,rival,iv
187,4,M596,96,single,iv
216,4,M900,96,rival,iv
226,4,M703,96,rival,iv
179,4,M900,97,single,iv
217,4,M239,97,single,iv
196,4,M315,98,rival,iv
221,4,M395,98,single,iv
223,4,M596,98,single,iv
230,4,M239,98,rival,iv
166,4,M703,100,rival,iv
191,4,M900,100,single,iv
210,4,M395,100,rival,iv
215,4,M900,100,single,iv
121,4,M239,101,single,iv
143,4,M900,101,single,iv
151,4,M596,101,single,iv
204,4,M900,101,rival,iv
212,4,M596,101,rival,iv
222,4,M395,101,rival,iv
240,4,M900,101,rival,iv
130,4,M703,102,rival,iv
200,4,M596,102,rival,iv
182,4,M239,103,rival,iv
175,4,M596,104,single,iv
138,4,M395,105,rival,iv
140,4,M596,105,rival,iv
208,4,M315,105,rival,iv
236,4,M596,106,rival,iv
132,4,M900,107,rival,iv
136,4,M315,108,rival,iv
168,4,M900,108,rival,iv
227,4,M900,108,single,iv
162,4,M395,109,rival,iv
181,4,M239,109,single,iv
199,4,M596,109,single,iv
147,4,M315,110,single,iv
172,4,M315,110,rival,iv
228,4,M900,110,rival,iv
177,4,M703,111,single,iv
238,4,M703,111,rival,iv
148,4,M315,112,rival,iv
171,4,M315,112,single,iv
174,4,M395,112,rival,iv
180,4,M900,112,rival,iv
122,4,M239,113,rival,iv
160,4,M315,113,rival,iv
224,4,M596,115,rival,iv
135,4,M315,117,single,iv
184,4,M315,117,rival,iv
141,4,M703,118,single,iv
203,4,M900,118,single,iv
159,4,M315,119,single,iv
205,4,M239,119,single,iv
214,4,M703,119,rival,iv
190,4,M703,120,rival,iv
183,4,M315,121,single,iv
235,4,M596,121,single,iv
198,4,M395,122,rival,iv
234,4,M395,122,rival,iv
220,4,M315,123,rival,iv
161,4,M395,124,single,iv
207,4,M315,126,single,iv
127,4,M596,127,single,iv
231,4,M315,127,single,iv
170,4,M239,128,rival,iv
188,4,M596,132,rival,iv
123,4,M315,133,single,iv
126,4,M395,136,rival,iv
142,4,M703,136,rival,iv
157,4,M239,137,single,iv
101,4,M395,18,single,wild
25,4,M239,24,single,wild
33,4,M703,27,single,wild
45,4,M703,27,single,wild
73,4,M239,28,single,wild
109,4,M239,34,single,wild
97,4,M239,36,single,wild
11,4,M900,37,single,wild
41,4,M395,37,single,wild
89,4,M395,38,single,wild
103,4,M596,38,single,wild
115,4,M596,38,single,wild
37,4,M239,41,single,wild
117,4,M703,43,single,wild
3,4,M315,46,single,wild
71,4,M900,46,single,wild
105,4,M703,46,single,wild
113,4,M395,46,single,wild
27,4,M315,47,single,wild
5,4,M395,49,single,wild
13,4,M239,49,single,wild
69,4,M703,49,single,wild
75,4,M315,51,single,wild
77,4,M395,52,single,wild
81,4,M703,52,single,wild
51,4,M315,53,single,wild
21,4,M703,54,single,wild
111,4,M315,54,single,wild
29,4,M395,55,single,wild
55,4,M596,55,single,wild
57,4,M703,55,single,wild
99,4,M315,55,single,wild
59,4,M900,56,single,wild
61,4,M239,56,single,wild
17,4,M395,57,single,wild
19,4,M596,58,single,wild
39,4,M315,58,single,wild
31,4,M596,60,single,wild
