line,treatment,week,latency,duration,mating,first.l,first.d
M395,rival,W3,312,896,1,577,1427
M395,single,W1,413,939,1,958,1188
M395,rival,W5,424,945,1,488,1175
M596,single,W6,446,1028,1,678,818
M843,single,W6,490,1908,1,2713,1103
M508,single,W1,530,1035,1,275,956
M239,rival,W1,604,1124,1,221,1010
M443,rival,W1,1029,1234,1,443,1262
M371,single,W6,1033,1059,1,7866,996
M843,rival,W6,1232,1125,1,5395,963
M373,rival,W6,1267,1498,1,1641,1098
M28,rival,W4,1280,624,1,224,1041
M357,rival,W6,1592,971,1,1615,1243
M395,rival,W4,1597,882,1,561,1171
M596,rival,W6,1603,1128,1,1126,1136
M239,rival,W4,1747,1085,1,666,953
M373,single,W6,1764,968,1,1625,1254
M395,rival,W1,1951,48,1,202,1454
M315,single,W6,2194,1694,1,1191,972
M195,rival,W6,2199,1094,1,6479,1543
M395,rival,W2,2379,1123,1,202,1068
M217,single,W1,2421,810,1,170,790
M217,rival,W2,2528,692,1,148,860
M28,single,W3,2566,1727,1,449,835
M367,rival,W5,2619,942,1,948,1062
M508,single,W5,2627,687,1,749,1647
M371,rival,W1,2652,892,1,379,1202
M379,rival,W1,2660,1047,1,288,1390
M379,single,W6,2685,1020,1,2290,1059
M315,rival,W2,2739,1192,1,132,991
M395,rival,W1,2750,1161,1,472,1167
M357,rival,W5,2775,315,1,3751,1093
M491,single,W3,2778,1215,1,367,1173
M217,rival,W1,2823,1023,1,237,1024
M399,rival,W3,2830,784,1,1282,995
M91,single,W4,2832,900,1,3163,1076
M439,single,W6,2840,712,1,1871,778
M217,single,W3,2853,1099,1,405,642
M28,rival,W5,2902,1215,1,1902,1200
M395,single,W6,2996,1170,1,447,1134
M373,rival,W6,3061,1014,1,6564,1216
M596,rival,W1,3066,600,1,1758,498
M900,single,W5,3161,899,1,954,913
M371,rival,W6,3183,1605,1,5187,1188
M379,rival,W2,3202,1119,1,341,946
M399,single,W3,3217,1371,1,2961,816
M399,single,W2,3281,813,1,181,729
M371,rival,W6,3297,1101,1,425,1318
M195,rival,W1,3297,1188,1,813,1469
M195,rival,W4,3342,633,1,1167,980
M703,single,W5,3362,1147,1,970,955
M491,rival,W2,3363,972,1,478,884
M439,rival,W2,3394,1290,1,394,893
M492,single,W1,3448,1230,1,1438,936
M508,rival,W4,3455,1668,1,1425,1075
M239,rival,W6,3485,1816,1,299,857
M315,single,W1,3486,1386,1,151,1031
M703,single,W5,3502,1363,1,188,1061
M900,single,W5,3513,951,1,2951,1200
M900,single,W3,3549,969,1,4782,1001
M508,rival,W2,3568,861,1,1050,915
M357,single,W3,3575,939,1,554,1001
M703,rival,W6,3596,1211,1,684,1289
M492,single,W6,3743,1045,1,791,1037
M367,single,W6,3763,847,1,2334,1200
M26,single,W2,3848,1176,1,346,1407
M373,single,W6,3853,1172,1,1378,913
M596,single,W4,3893,909,1,703,785
M371,rival,W3,3952,549,1,72,952
M239,single,W4,3959,1230,1,1225,799
M843,rival,W2,3976,1441,1,456,1121
M373,rival,W3,4029,915,1,1136,1352
M392,single,W6,4043,1160,1,1148,596
M195,rival,W3,4078,1080,1,193,1386
M843,single,W3,4112,768,1,4251,1117
M373,single,W1,4133,649,1,1774,872
M357,single,W1,4135,4367,1,378,741
M907,single,W6,4136,1016,1,213,1235
M315,rival,W6,4139,1081,1,3842,1242
M357,rival,W4,4157,1661,1,688,648
M399,rival,W5,4166,1110,1,1465,794
M91,single,W6,4207,859,1,2481,1115
M492,single,W1,4245,1033,1,301,947
M91,rival,W5,4288,1036,1,406,1149
M357,single,W6,4346,1120,1,820,774
M492,rival,W2,4353,381,1,123,1190
M357,single,W1,4354,1167,1,645,833
M703,single,W3,4355,1156,1,718,993
M491,rival,W6,4364,1987,1,448,1045
M765,rival,W1,4379,1287,1,510,1056
M28,rival,W2,4382,1427,1,280,832
M373,rival,W1,4397,1302,1,974,955
M392,single,W4,4431,960,1,347,786
M379,single,W3,4434,837,1,1665,1187
M28,single,W6,4439,1791,1,2486,812
M765,single,W3,4453,1206,1,2273,1152
M91,single,W3,4481,1049,1,1742,1112
M217,single,W4,4498,1912,1,209,756
M491,rival,W5,4517,1235,1,2189,1245
M379,rival,W3,4520,983,1,504,885
M217,single,W3,4529,1127,1,648,988
M439,rival,W1,4540,910,1,340,913
M367,rival,W2,4570,1051,1,3306,1023
M439,rival,W4,4570,998,1,2636,1337
M596,single,W2,4621,935,1,5562,886
M28,rival,W2,4659,920,1,168,1255
M28,rival,W6,4675,1464,1,392,1129
M392,single,W5,4688,1072,1,300,919
M195,rival,W1,4694,1171,1,320,1267
M491,single,W6,4702,1216,1,2111,775
M703,rival,W3,4710,1430,1,554,1162
M195,single,W3,4715,4016,1,2399,789
M443,single,W1,4718,1282,1,2286,1064
M371,rival,W1,4765,816,1,2924,1186
M392,single,W1,4788,962,1,279,255
M907,single,W1,4812,1099,1,1473,1002
M502,single,W1,4834,1218,1,450,899
M371,rival,W3,4873,1053,1,140,946
M392,rival,W6,4878,903,1,344,1305
M28,single,W3,4897,1356,1,1890,1041
M371,single,W4,4936,1105,1,194,774
M439,single,W1,4972,959,1,4439,1807
M596,rival,W5,5041,756,1,1007,1229
M596,single,W3,5060,1039,1,315,1065
M900,single,W4,5069,1125,1,2198,1075
M399,single,W6,5084,1049,1,6267,1055
M239,single,W6,5104,1446,1,2132,1007
M239,single,W2,5129,1085,1,286,1043
M217,single,W6,5168,970,1,937,698
M367,rival,W3,5237,1252,1,1016,878
M907,single,W3,5349,1109,1,212,955
M443,single,W5,5361,1063,1,1118,818
M195,single,W1,5416,2034,1,1682,993
M443,rival,W3,5429,1346,1,124,1002
M491,single,W1,5437,1816,1,328,530
M492,single,W3,5562,668,1,264,715
M373,rival,W3,5574,817,1,6585,1053
M129,single,W6,5580,208,1,1272,836
M91,single,W5,5585,1187,1,297,910
M28,rival,W1,5615,1085,1,368,908
M843,single,W3,5640,2002,1,2888,1128
M502,rival,W5,5680,1194,1,1380,696
M395,rival,W6,5727,927,1,246,1304
M395,single,W5,5737,1508,1,494,799
M907,single,W1,5757,742,1,901,1260
M367,rival,W1,5766,1143,1,4685,1531
M491,rival,W1,5767,1496,1,846,1068
M28,single,W4,5783,944,1,2745,862
M399,rival,W3,5795,1040,1,4037,995
M315,rival,W1,5803,1440,1,1035,1301
M508,single,W2,5892,864,1,829,790
M508,rival,W5,5904,1037,1,3202,1262
M371,single,W3,5906,1560,1,6792,582
M367,single,W3,5909,1053,1,167,1260
M239,rival,W3,5910,984,1,1758,1065
M195,rival,W6,5921,1069,1,3771,1369
M371,single,W2,5985,1621,1,293,650
M508,rival,W3,5992,827,1,196,1086
M367,single,W2,5998,1350,1,388,757
M392,single,W2,6032,866,1,338,979
M395,single,W2,6047,1033,1,1722,1008
M315,single,W6,6054,1035,1,622,857
M502,single,W1,6069,1199,1,1171,852
M91,rival,W4,6115,1001,1,820,1220
M439,single,W1,6158,1183,1,2896,767
M765,single,W3,6162,1522,1,1883,778
M439,rival,W2,6175,760,1,482,797
M28,single,W5,6186,1081,1,456,867
M491,single,W1,6213,1508,1,479,949
M239,rival,W1,6266,871,1,916,1545
M492,rival,W3,6315,1211,1,269,850
M315,rival,W1,6318,1121,1,5517,1444
M91,rival,W6,6332,3990,1,1510,792
M367,single,W1,6364,1193,1,346,906
M367,single,W3,6387,1078,1,393,965
M502,rival,W1,6403,791,1,443,708
M315,rival,W6,6449,660,1,2275,1157
M217,rival,W6,6476,1170,1,1012,833
M373,single,W4,6518,1034,1,200,836
M900,rival,W1,6537,1063,1,1689,877
M315,single,W3,6543,740,1,430,988
M900,rival,W4,6559,1507,1,415,1061
M508,rival,W6,6566,1005,1,950,1177
M357,rival,W6,6570,1044,1,747,789
M399,single,W1,6575,1310,1,1290,1110
M399,rival,W4,6581,943,1,251,763
M129,single,W6,6613,589,1,1330,1080
M508,rival,W1,6653,361,1,488,1403
M439,single,W5,6675,1297,1,1502,819
M703,single,W6,6683,1034,1,3274,1057
M392,single,W3,6708,885,1,1587,885
M395,single,W4,6743,1600,1,986,687
M371,rival,W5,6772,524,1,1265,1013
M26,rival,W2,6787,1253,1,312,1226
M129,single,W5,6794,1386,1,1843,943
M439,rival,W5,6826,1041,1,3695,931
M28,rival,W3,6831,864,1,1205,1053
M392,single,W3,6842,1327,1,278,490
M491,single,W3,6848,906,1,4618,1039
M373,single,W5,6876,1140,1,1208,937
M26,single,W2,6935,1828,1,159,930
M357,single,W5,6999,1673,1,7516,1149
M491,rival,W3,7008,879,1,1692,1556
M315,single,W2,7063,960,1,473,891
M26,rival,W1,7089,1399,1,5239,1205
M443,single,W2,7097,1106,1,337,957
M217,single,W2,7143,847,1,320,595
M28,rival,W6,7234,1180,1,378,1115
M357,single,W2,7332,1002,1,169,1053
M492,rival,W5,7338,953,1,1503,1282
M315,single,W2,7369,563,1,322,912
M315,rival,W3,7402,1539,1,507,1258
M239,rival,W6,7459,1049,1,484,1165
M379,rival,W4,7472,1020,1,1808,488
M395,single,W3,7485,1073,1,446,581
M703,rival,W6,7491,1481,1,1110,1465
M28,single,W1,7561,670,1,134,732
M900,single,W2,7574,1190,1,4945,433
M315,single,W4,7622,1098,1,2292,1094
M28,single,W6,7668,1165,1,488,883
M900,rival,W1,7675,457,1,379,1166
M373,rival,W4,7700,1603,1,200,811
M373,single,W3,7769,834,1,6478,1084
M357,single,W6,7856,1690,1,4181,1107
M129,rival,W4,7857,1925,1,2679,1053
M373,rival,W2,7859,1308,1,383,1173
M765,single,W1,7895,879,1,645,1285
M373,rival,W5,7908,2388,1,1708,1202
M399,single,W3,7932,966,1,7776,989
M392,rival,W6,7941,1717,1,2885,836
M28,single,W2,7976,1031,1,293,1081
M379,single,W1,8037,1248,1,1031,1065
M508,single,W6,8087,1223,1,1403,1032
M765,single,W5,8110,829,1,6747,473
M379,single,W3,8144,1624,1,6543,608
M239,single,W3,8181,1710,1,560,745
M596,rival,W3,8211,1056,1,1844,1322
M439,rival,W1,8249,1630,1,259,888
M843,single,W1,8258,1173,1,441,1047
M129,rival,W1,8269,1306,1,145,1063
M129,rival,W6,8312,1085,1,1201,845
M392,rival,W2,8331,1223,1,246,868
M28,single,W5,8409,1200,1,3291,923
M392,rival,W3,8416,1105,1,3398,1034
M217,single,W5,8439,1233,1,4646,897
M392,single,W1,8440,1033,1,460,895
M367,single,W2,8446,1102,1,483,1095
M443,rival,W3,8450,812,1,285,1018
M367,single,W5,8454,1151,1,2840,1297
M367,rival,W6,8522,1466,1,638,1220
M443,single,W5,8550,1393,1,1680,857
M907,rival,W3,8583,1409,1,192,1249
M129,single,W5,8654,1625,1,5244,1158
M703,rival,W2,8701,970,1,151,1355
M26,rival,W3,8786,1539,1,479,1061
M26,rival,W6,8824,836,1,606,1115
M843,single,W6,8896,1277,1,1332,645
M217,rival,W3,8915,1064,1,494,852
M392,single,W5,8922,719,1,2074,1205
M371,single,W5,8931,1380,1,1349,914
M371,single,W1,8933,1219,1,1010,972
M392,single,W6,9136,982,1,232,840
M392,rival,W5,9142,1479,1,189,1055
M217,rival,W3,9205,576,1,569,852
M399,single,W1,9234,1547,1,500,656
M502,rival,W2,9394,1236,1,512,1059
M195,rival,W2,9408,1165,1,443,979
M91,rival,W3,9412,779,1,381,1270
M508,single,W1,9503,977,1,1054,812
M239,single,W6,9507,468,1,573,996
M26,rival,W5,9644,1260,1,344,1064
M315,single,W1,9676,1068,1,1401,897
M91,rival,W3,9698,1256,1,1311,1267
M392,rival,W3,9711,1003,1,182,893
M315,single,W3,9724,1616,1,267,931
M217,rival,W5,9831,1079,1,6763,1122
M373,single,W2,9858,1303,1,1201,1058
M373,single,W1,9861,941,1,1338,912
M596,rival,W6,9901,398,1,511,1358
M217,single,W2,9935,916,1,2367,748
M439,rival,W6,9941,1573,1,361,875
M392,rival,W1,9962,1261,1,1096,896
M508,rival,W1,9996,1482,1,169,1163
M907,rival,W4,10037,972,1,589,1045
M508,single,W5,10084,1189,1,1560,1025
M91,single,W5,10132,1135,1,2157,979
M491,single,W5,10207,1127,1,2967,1610
M900,single,W1,10237,1110,1,2393,754
M26,single,W6,10288,1374,1,627,1185
M399,rival,W1,10468,1119,1,446,1092
M129,single,W4,10470,1038,1,2100,1142
M373,rival,W1,10538,905,1,339,796
M443,single,W1,10540,883,1,619,1250
M367,rival,W6,10581,1265,1,1584,1286
M443,single,W3,10643,1201,1,1815,953
M26,single,W3,10645,1450,1,332,874
M492,single,W6,10938,1129,1,2832,1137
M26,single,W5,11176,1729,1,4261,1246
M357,single,W4,11343,1499,1,1906,898
M502,rival,W1,11362,405,1,540,1171
M367,single,W6,11368,1318,1,413,1114
M492,rival,W3,11591,1029,1,695,870
M439,single,W5,11824,638,1,2641,1016
M315,single,W5,12030,2031,1,1276,768
M217,rival,W4,12067,578,1,441,823
M28,single,W1,12262,1729,1,1931,942
M129,single,W1,12339,781,1,253,750
M26,single,W4,12592,1057,1,5000,800
M91,single,W1,12607,788,1,1239,1054
M367,single,W5,12677,1080,1,1194,1036
