combo,mean.duration,treatment,line,mean.latency
mature26,1081,rival,m26,11593.636
mature28,1069.4,rival,m28,6523.8
mature91,1129.818182,rival,m91,11075.727
mature129,1008.5,rival,m29,12054.75
mature195,1255.454545,rival,m195,8230.818
mature217,913.4444444,rival,m217,8960.556
mature239,1153.454545,rival,m239,8861
mature315,1157.1,rival,m315,9045
mature357,1097.222222,rival,m357,9677.111
mature367,1203.3,rival,m367,9489.5
mature371,1084.818182,rival,m371,7917.636
mature373,1099.363636,rival,m373,7375.727
mature379,913.8,rival,m379,10396
mature392,944.5454545,rival,m392,10543.727
mature395,1164.111111,rival,m395,5077.111
mature399,1011.909091,rival,m399,10436
mature439,1015.636364,rival,m439,9208.636
mature443,1019.9,rival,m443,11466.4
mature491,1121.7,rival,m491,9701.9
mature492,1105,rival,m492,11814.455
mature502,1000.375,rival,m502,11304.875
mature508,1119.3,rival,m508,8533.4
mature596,1061.8,rival,m596,9875.8
mature703,1253.7,rival,m703,10984.4
mature765,1026,rival,m765,12968.429
mature843,1038,rival,m843,11266.5
mature900,1028.666667,rival,m900,11809.333
mature907,1190.5,rival,m907,12703.333
young26,1079.5,single,m26,10535.5
young28,897.8,single,m28,6774.7
young91,1067.333333,single,m91,9227.111
young129,948.1111111,single,m29,10405.556
young195,1175.375,single,m195,11923.125
young217,815.5454545,single,m217,8002.182
young239,995.2,single,m239,10944.4
young315,953.6363636,single,m315,8679.909
young357,1010.1,single,m357,8580.8
young367,1036.3,single,m367,8972
young371,863.5,single,m371,10046.2
young373,1000.727273,single,m373,8530.182
young379,1005.25,single,m379,9969.125
young392,793.6363636,single,m392,7890.727
young395,920.8,single,m395,8702.1
young399,899.5,single,m399,9292.3
young439,974.5,single,m439,10446.9
young443,888.0909091,single,m443,10809.909
young491,1016.3,single,m491,9378.5
young492,1000.333333,single,m492,9504
young502,826.2222222,single,m502,12411.444
young508,997.6666667,single,m508,10026.667
young596,1014,single,m596,10042
young703,1036.111111,single,m703,9870.333
young765,850.8,single,m765,11302
young843,978,single,m843,9444
young900,908,single,m900,7737.875
young907,1044,single,m907,10228.222
